sheet,designator,symbol_id,symbol_name,part,name_field,value_field,net_field,footprint_field,device_field
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,ADC_In1,,,,,,,,87ccbae5bf4449abb68a33451f35430b
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,ADC_In2,,,,,,,,87ccbae5bf4449abb68a33451f35430b
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C1,742049f4358841bfba6e5c392e9bd2d1,,CapAcitance.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C10,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C11,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,139a0302676a47909b25ab608ed70c02
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C12,,,,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C13,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C14,,,,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C15,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C16,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C17,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C18,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C19,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C2,cec4190b21f74d49ac7cd97a0f5c0988,,TAJB107K006RNJ.1,,,,168096576f4e414c8600b142d4e182ea,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C20,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C21,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C22,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,00bef50977fa4803a695b9d0a2fe17ff
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C23,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,00bef50977fa4803a695b9d0a2fe17ff
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C24,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,00bef50977fa4803a695b9d0a2fe17ff
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C25,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C26,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C27,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C28,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C29,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C3,cec4190b21f74d49ac7cd97a0f5c0988,,TAJB107K006RNJ.1,,,,168096576f4e414c8600b142d4e182ea,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C30,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C31,,,,,,,,b9f3216b2e134343b9e2e8e10ed00e8c
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C32,,,,,,,,8c63cea9b07c45cea3f953eca204503d
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C33,,,,,,,,6ff3fb34dc934048a80ee67c31319970
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C34,,,,,,,,dab0fa76ae464598b9b547ed2bad7759
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C35,,,,,,,,b9f3216b2e134343b9e2e8e10ed00e8c
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C36,,,,,,,,8c63cea9b07c45cea3f953eca204503d
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C37,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,1uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C38,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,4eb39889a1084071a58c3f5feb5a7a42
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C39,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,4eb39889a1084071a58c3f5feb5a7a42
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C4,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,C40,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,4.7uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C41,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,0.33uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,C42,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,0.33uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C5,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,C57,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,1uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C6,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,C61,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,2.2uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,C62,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,1uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,C63,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,0.33uF,,,b0c111e6920745f1a39024add9d1f105
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,C64,6e70558eb0fa43118324e9b96837b071,CAP,CAP.1,,,,,b0c111e6920745f1a39024add9d1f105
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C7,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C8,,,,,,,,62bd620079744d478564c5e3a77fc011
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,C9,6d7181a9ac2543029b580f6c88e87f64,CL10B104KA8NNNC,CL10B104KA8NNNC.1,,,,,8bdd4d0c8f634f95873cb58f8153dd17
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,CN1,453f83b3752e4befb894a5e6774dc1ae,ZX-XH2.54-3PZZ,ZX-XH2.54-3PZZ.1,,,,,6ccb304b44a44c53975d385bd2938516
SHEET/e07f15eb024043b3b3ba29c70c058bd2/1.esch,D1,846a6a8c4b3041f5b4166ec12d95eb1d,MMSZ4689T1G,MMSZ4689T1G.1,,,,,2e5518c00d7443ee94c34806c08365a2
SHEET/e07f15eb024043b3b3ba29c70c058bd2/1.esch,D2,4557cad9d7a744d7a0a493fc049b756c,D_1N4007,D_1N4007.1,,,,,bddc2b1d0655421f8650c3213a7ab982
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,FE1,,,,,,,,87ccbae5bf4449abb68a33451f35430b
SHEET/e07f15eb024043b3b3ba29c70c058bd2/1.esch,FPC1,53708196eef743bfa0c5deef91818bee,AFC01-S24FCA-00,AFC01-S24FCA-00.1,,,,,f0d2555603e542a1baa4d717ea9d9bd1
SHEET/ed73f524805149f7a297a839dd3b4dd7/1.esch,H1,d9ba5b04c7b44038814908c4d32b5b05,PZ254V-11-03P_C2937625,PZ254V-11-03P_C2937625.1,,,,,7a34f61700664ba8a0a8d6aba3a695ea
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,H2,d9ba5b04c7b44038814908c4d32b5b05,PZ254V-11-03P_C2937625,PZ254V-11-03P_C2937625.1,,,,,7a34f61700664ba8a0a8d6aba3a695ea
SHEET/ed73f524805149f7a297a839dd3b4dd7/1.esch,H3,edd657465e464a59b94e31f6d4ee0da0,PZ254V-11-04P_C2691448,PZ254V-11-04P_C2691448.1,,,,,522d59b0d0434fb3b1356ba06476ed69
SHEET/ed73f524805149f7a297a839dd3b4dd7/1.esch,H4,edd657465e464a59b94e31f6d4ee0da0,PZ254V-11-04P_C2691448,PZ254V-11-04P_C2691448.1,,,,,522d59b0d0434fb3b1356ba06476ed69
SHEET/ed73f524805149f7a297a839dd3b4dd7/1.esch,H5,edd657465e464a59b94e31f6d4ee0da0,PZ254V-11-04P_C2691448,PZ254V-11-04P_C2691448.1,,,,,522d59b0d0434fb3b1356ba06476ed69
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,J1,,,,,,,,a6b415116d7e4906b02a6232eeb53f20
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,LED1,,,,,,,,1d5be60ea4664f5cbf573a0d327423e1
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,LED2,,,,,,,,1d5be60ea4664f5cbf573a0d327423e1
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,LED3,,,,,,,,1d5be60ea4664f5cbf573a0d327423e1
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,LED4,,,,,,,,1d5be60ea4664f5cbf573a0d327423e1
SHEET/df3223912ab040099658fc26a12c7fe5/2.esch,OPUData,,,,,,,,7e7b49a30baf4efeb65d010d82579583
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,OPUData1,,,,,,,,7e7b49a30baf4efeb65d010d82579583
SHEET/df3223912ab040099658fc26a12c7fe5/2.esch,PiezoData,,,,,,,,7e7b49a30baf4efeb65d010d82579583
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,PiezoData1,,,,,,,,7e7b49a30baf4efeb65d010d82579583
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,PiezoFPC1,53708196eef743bfa0c5deef91818bee,AFC01-S24FCA-00,AFC01-S24FCA-00.1,,,,,f0d2555603e542a1baa4d717ea9d9bd1
SHEET/e07f15eb024043b3b3ba29c70c058bd2/1.esch,Q1,827b2d424ce344d98886f9d33912f1d7,2N3906BU,2N3906BU.1,,,,,265c0002199b4acfa3224cf428c192e2
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R1,c9b77a5463ea48e5b397df4f0a8bea81,电阻,电阻.1,,10k,,,7728d54b6cb243d788a9918d3227ca9a
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R10,4ef1104e848c4127bbad3441278ae9ff,,电阻.1,,220,,,7fdf0b78409643c3a492dc21aeedfb03
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R11,,,,,3k,,,93304b3474de434c8d1955576bbe932f
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R12,5abdf58d4b32405e8c8e85b958a7d23e,0603WAF1002T5E,0603WAF1002T5E.1,,220,,,7fdf0b78409643c3a492dc21aeedfb03
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R13,5abdf58d4b32405e8c8e85b958a7d23e,0603WAF1002T5E,0603WAF1002T5E.1,,220,,,7fdf0b78409643c3a492dc21aeedfb03
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R14,,,,,220,,,7fdf0b78409643c3a492dc21aeedfb03
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R15,,,,,220,,,7fdf0b78409643c3a492dc21aeedfb03
SHEET/e07f15eb024043b3b3ba29c70c058bd2/3.esch,R16,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/3.esch,R17,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/3.esch,R18,,,,,0R22,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/3.esch,R19,,,,,0R22,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R2,c9b77a5463ea48e5b397df4f0a8bea81,电阻,电阻.1,,10k,,,7728d54b6cb243d788a9918d3227ca9a
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R20,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R21,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R22,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R23,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R24,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R25,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R26,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R27,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R28,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,R29,,,,,1K,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R3,c9b77a5463ea48e5b397df4f0a8bea81,电阻,电阻.1,,10k,,,7728d54b6cb243d788a9918d3227ca9a
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,R30,b1a333f2bf1345c5a7b6d9b286573e35,0603WAF1002T5E,0603WAF1002T5E.1,,,,,3a5b906b360b4d818116a8157d636571
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,R31,b1a333f2bf1345c5a7b6d9b286573e35,0603WAF1002T5E,0603WAF1002T5E.1,,,,,3a5b906b360b4d818116a8157d636571
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,R32,,,,,0.47,,,3d07d4e767cb485c93f509f96309ff0e
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,R33,,,,,0.47,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,R34,b1a333f2bf1345c5a7b6d9b286573e35,0603WAF1002T5E,0603WAF1002T5E.1,,,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,R35,b1a333f2bf1345c5a7b6d9b286573e35,0603WAF1002T5E,0603WAF1002T5E.1,,,,,da7a98b04c5e42aabfa0972f58647b36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,R36,,,,,0.47,,,3d07d4e767cb485c93f509f96309ff0e
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,R37,,,,,0.47,,,3d07d4e767cb485c93f509f96309ff0e
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,R38,5abdf58d4b32405e8c8e85b958a7d23e,0603WAF1002T5E,0603WAF1002T5E.1,,,,,3a5b906b360b4d818116a8157d636571
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,R39,5abdf58d4b32405e8c8e85b958a7d23e,0603WAF1002T5E,0603WAF1002T5E.1,,,,,3a5b906b360b4d818116a8157d636571
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R4,c9b77a5463ea48e5b397df4f0a8bea81,电阻,电阻.1,,3k,,,93304b3474de434c8d1955576bbe932f
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R5,c9b77a5463ea48e5b397df4f0a8bea81,电阻,电阻.1,,3k,,,93304b3474de434c8d1955576bbe932f
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R6,c9b77a5463ea48e5b397df4f0a8bea81,电阻,电阻.1,,3k,,,93304b3474de434c8d1955576bbe932f
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R7,c9b77a5463ea48e5b397df4f0a8bea81,电阻,电阻.1,,3k,,,93304b3474de434c8d1955576bbe932f
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R8,d29ebec1fbcc477db117aa46f4f450ff,3296W-1-502LF,3296W-1-502LF.1,,220,,,7fdf0b78409643c3a492dc21aeedfb03
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,R9,,,,,3k,,,93304b3474de434c8d1955576bbe932f
SHEET/e07f15eb024043b3b3ba29c70c058bd2/4.esch,RF1,,,,,,,,87ccbae5bf4449abb68a33451f35430b
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,SCREW1,,,,,,,,9c09d8c14e0d45fdbd1abb35db83b27e
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,SCREW2,,,,,,,,9c09d8c14e0d45fdbd1abb35db83b27e
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,SCREW3,,,,,,,,9c09d8c14e0d45fdbd1abb35db83b27e
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,SCREW4,,,,,,,,9c09d8c14e0d45fdbd1abb35db83b27e
SHEET/ed73f524805149f7a297a839dd3b4dd7/1.esch,SCREW5,,,,,,,,52cb8a798e6a46098ec22120f21ffec9
SHEET/df3223912ab040099658fc26a12c7fe5/2.esch,StepperMotor,,,,,,,,7e7b49a30baf4efeb65d010d82579583
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,StepperMotor1,,,,,,,,7e7b49a30baf4efeb65d010d82579583
SHEET/e07f15eb024043b3b3ba29c70c058bd2/1.esch,TP1,,,,,,,,136f1ed5e56e445ba3d69f07dbf0bc5c
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,U1,702c5d19ed6d430fbfcff96774f5955d,LT1807IS8#PBF,LT1807IS8#PBF.1,={Manufacturer Part},,,5b96fb2107f54790a95fd414dea5608d,c2d0e3f9ac2b44b68057457d1c3b11b0
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,U10,378e0a0d57114c348f351aed00fd553d,LM7905T,LM7905T.1,,,,,0c0597c01bb74fa7866cae0cd9e382d4
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,U11,,,,,,,,e56fe048508544e8a918667c07b91afc
SHEET/e07f15eb024043b3b3ba29c70c058bd2/3.esch,U12,7539696b7b2d4d89998e737732fbc31c,AD8397ARZ-REEL7,AD8397ARZ-REEL7.2,,,,,ad3e12d28c044e768f2f3794f11cd60e
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,U14,,,,,,,0b062b28a62e4bafb0f077865f08010c,240c7734e5c840e181cec1245935cb95
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,U15,,,,,,,0b062b28a62e4bafb0f077865f08010c,240c7734e5c840e181cec1245935cb95
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,U16,,,,,,,0b062b28a62e4bafb0f077865f08010c,240c7734e5c840e181cec1245935cb95
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,U17,,,,,,,,ccf22e432ed44a2681125f5479dbfd2a
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,U2,,,,={Manufacturer Part},,,5b96fb2107f54790a95fd414dea5608d,8218640d348d4f14b4c31d216ee24db6
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,U21,,,,,,,,64b91982e85047d3b3d6e87b95b1ce8a
SHEET/5eb400f155ea42bb9b87713eeec29188/2.esch,U22,,,,,,,,622f199a746d4805ac1a5bd8e99a1583
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,U3,,,,={Manufacturer Part},,,5b96fb2107f54790a95fd414dea5608d,8218640d348d4f14b4c31d216ee24db6
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,U4,,,,={Manufacturer Part},,,5b96fb2107f54790a95fd414dea5608d,8218640d348d4f14b4c31d216ee24db6
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,U5,69333bb0274b4fe88d96af0534d97aa4,OPA2227UA,OPA2227UA.2,,,,,41c5af8662c44180b7a206f8b732bd36
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,U6,69333bb0274b4fe88d96af0534d97aa4,OPA2227UA,OPA2227UA.2,,,,,41c5af8662c44180b7a206f8b732bd36
SHEET/5eb400f155ea42bb9b87713eeec29188/1.esch,U7,69333bb0274b4fe88d96af0534d97aa4,OPA2227UA,OPA2227UA.2,,,,,41c5af8662c44180b7a206f8b732bd36
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,U8,,,,,,,,ad860d7dc34b45389ea074a4ab2d0489
SHEET/e07f15eb024043b3b3ba29c70c058bd2/6.esch,U9,,,,,,,,64b91982e85047d3b3d6e87b95b1ce8a
